CODI_DISTRICTE	NOM_DISTRICTE	CODI_BARRI	NOM_BARRI	NOM_BARRI_EXTENDED	LATITUD	LONGITUD																
1	Ciutat Vella	1	el Raval	1. el Raval	 41.3797157	 2.168183900000031																
1	Ciutat Vella	2	el Barri Gòtic	2. el Barri Gòtic	 41.3819055	 2.178184999999985																
1	Ciutat Vella	3	la Barceloneta	3. la Barceloneta	 41.3808941	 2.1893853000000263																
1	Ciutat Vella	4	Sant Pere, Santa Caterina i la Ribera	4. Sant Pere, Santa Caterina i la Ribera	 41.3808941	 2.1893853000000263																
2	Eixample	5	el Fort Pienc	5. el Fort Pienc	 41.3981098	 2.181871000000001																
2	Eixample	6	la Sagrada Família	6. la Sagrada Família	 41.4036299	 2.1743558000000576																
2	Eixample	7	la Dreta de l'Eixample	7. la Dreta de l'Eixample	 41.3963097	 2.1653830999999855																
2	Eixample	8	l'Antiga Esquerra de l'Eixample	8. l'Antiga Esquerra de l'Eixample	 41.3885573	 2.157303299999967																
2	Eixample	9	la Nova Esquerra de l'Eixample	9. la Nova Esquerra de l'Eixample	 41.3837327	 2.147479999999973																
2	Eixample	10	Sant Antoni	10. Sant Antoni	 38.9826357	 1.3015192000000297																
3	Sants-Montjuïc	11	el Poble Sec	11. el Poble Sec	 41.3724303	 2.162877799999933																
3	Sants-Montjuïc	12	la Marina del Prat Vermell	12. la Marina del Prat Vermell	 41.3525378	 2.141341499999953																
3	Sants-Montjuïc	13	la Marina de Port	13. la Marina de Port	 41.3588692	 2.1376589000000195																
3	Sants-Montjuïc	14	la Font de la Guatlla	14. la Font de la Guatlla	 41.3693898	 2.1444106999999804																
3	Sants-Montjuïc	15	Hostafrancs	15. Hostafrancs	 41.3752223	 2.1451349000000164																
3	Sants-Montjuïc	16	la Bordeta	16. la Bordeta	 41.3676592	 2.136431399999992																
3	Sants-Montjuïc	17	Sants - Badal	17. Sants - Badal	 41.3753542	 2.126612600000044																
3	Sants-Montjuïc	18	Sants	18. Sants	 41.37890669999999	 2.1376589000000195																
4	Les Corts	19	les Corts	19. les Corts	 41.3834895	 2.116797099999985																
4	Les Corts	20	la Maternitat i Sant Ramon	20. la Maternitat i Sant Ramon	 41.3793585	 2.1131153999999697																
4	Les Corts	21	Pedralbes	21. Pedralbes	 41.3903033	 2.109121400000049																
5	Sarrià-Sant Gervasi	22	Vallvidrera, el Tibidabo i les Planes	22. Vallvidrera, el Tibidabo i les Planes	 41.3808941	 2.1893853000000263																
5	Sarrià-Sant Gervasi	23	Sarrià	23. Sarrià	 41.3993167	 2.1341754000000037																
5	Sarrià-Sant Gervasi	24	les Tres Torres	24. les Tres Torres	 41.3977987	 2.1315217000000075																
5	Sarrià-Sant Gervasi	25	Sant Gervasi - la Bonanova	25. Sant Gervasi - la Bonanova	 41.4091308	 2.127839799999947																
5	Sarrià-Sant Gervasi	26	Sant Gervasi - Galvany	26. Sant Gervasi - Galvany	 41.3988459	 2.1425692000000254																
5	Sarrià-Sant Gervasi	27	el Putxet i el Farró	27. el Putxet i el Farró	 41.4075841	 2.1437968000000183																
6	Gràcia	28	Vallcarca i els Penitents	28. Vallcarca i els Penitents	 41.415138	 2.141341499999953																
6	Gràcia	29	el Coll	29. el Coll	 41.4175036	 2.148707800000011																
6	Gràcia	30	la Salut	30. la Salut	 41.4124069	 2.1536192999999457																
6	Gràcia	31	la Vila de Gràcia	31. la Vila de Gràcia	 41.4035997	 2.1553129000000126																
6	Gràcia	32	el Camp d'en Grassot i Gràcia Nova	32. el Camp d'en Grassot i Gràcia Nova	 41.4046685	 2.1659005000000207																
7	Horta-Guinardó	33	el Baix Guinardó	33. el Baix Guinardó	 41.412131	 2.16835709999998																
7	Horta-Guinardó	34	Can Baró	34. Can Baró	 41.4172284	 2.163444000000027																
7	Horta-Guinardó	35	el Guinardó	35. el Guinardó	 41.42303	 2.1733699000000115																
7	Horta-Guinardó	36	la Font d'en Fargues	36. la Font d'en Fargues	 41.4246893	 2.1659005000000207																
7	Horta-Guinardó	37	el Carmel	37. el Carmel	 41.422371	 2.1560752999999977																
7	Horta-Guinardó	38	la Teixonera	38. la Teixonera	 41.4225997	 2.1437968000000183																
7	Horta-Guinardó	39	Sant Genís dels Agudells	39. Sant Genís dels Agudells	 41.424146	 2.127839799999947																
7	Horta-Guinardó	40	Montbau	40. Montbau	 41.4304873	 2.1438689000000295																
7	Horta-Guinardó	41	la Vall d'Hebron	41. la Vall d'Hebron	 41.43001460000001	 2.148707800000011																
7	Horta-Guinardó	42	la Clota	42. la Clota	 41.4293091	 2.1530053999999836																
7	Horta-Guinardó	43	Horta	43. Horta	 41.4333025	 2.1552859999999328																
8	Nou Barris	44	Vilapicina i la Torre Llobeta	44. Vilapicina i la Torre Llobeta	 41.4289178	 2.173885000000041																
8	Nou Barris	45	Porta	45. Porta	 41.3808941	 2.1893853000000263																
8	Nou Barris	46	el Turó de la Peira	46. el Turó de la Peira	 41.4321029	 2.1708138999999846																
8	Nou Barris	47	Can Peguera	47. Can Peguera	 41.4343785	 2.1662075000000414																
8	Nou Barris	48	la Guineueta	48. la Guineueta	 41.4400621	 2.1657080999999607																
8	Nou Barris	49	Canyelles	49. Canyelles	 41.2829335	 1.7230552999999418																
8	Nou Barris	50	les Roquetes	50. les Roquetes	 41.228714	 1.7456829999999854																
8	Nou Barris	51	Verdun	51. Verdun	 49.15987639999999	 5.384423100000049																
8	Nou Barris	52	la Prosperitat	52. la Prosperitat	 41.4418775	 2.183099699999957																
8	Nou Barris	53	la Trinitat Nova	53. la Trinitat Nova	 41.4518355	 2.1855573000000277																
8	Nou Barris	54	Torre Baró	54. Torre Baró	 41.45334099999999	 2.17204229999993																
8	Nou Barris	55	Ciutat Meridiana	55. Ciutat Meridiana	 41.4620238	 2.175727800000004																
8	Nou Barris	56	Vallbona	56. Vallbona	 41.3808941	 2.1893853000000263																
9	Sant Andreu	57	la Trinitat Vella	57. la Trinitat Vella	 41.4516956	 2.192930799999999																
9	Sant Andreu	58	Baró de Viver	58. Baró de Viver	 41.4440989	 2.19784709999999																
9	Sant Andreu	59	el Bon Pastor	59. el Bon Pastor	 41.4365208	 2.199783000000025																
9	Sant Andreu	60	Sant Andreu	60. Sant Andreu	 41.4336754	 2.185790200000042																
9	Sant Andreu	61	la Sagrera	61. la Sagrera	 41.3808941	 2.1893853000000263																
9	Sant Andreu	62	el Congrés i els Indians	62. el Congrés i els Indians	 41.4244117	 2.180642300000045																
9	Sant Andreu	63	Navas	63. Navas	 41.3808941	 2.1893853000000263																
10	Sant Martí	64	el Camp de l'Arpa del Clot	64. el Camp de l'Arpa del Clot	 41.4118532	 2.183099699999957																
10	Sant Martí	65	el Clot	65. el Clot	 41.4097037	 2.1892365999999583																
10	Sant Martí	66	el Parc i la Llacuna del Poblenou	66. el Parc i la Llacuna del Poblenou	 41.3991986	 2.1904727999999523																
10	Sant Martí	67	la Vila Olímpica del Poblenou	67. la Vila Olímpica del Poblenou	 41.3915949	 2.1953889000000117																
10	Sant Martí	68	el Poblenou	68. el Poblenou	 41.3977365	 2.2015347000000247																
10	Sant Martí	69	Diagonal Mar i el Front Marítim del Poblenou	69. Diagonal Mar i el Front Marítim del Poblenou	 41.4074666	 2.216288200000008																
10	Sant Martí	70	el Besòs i el Maresme	70. el Besòs i el Maresme	 41.413747	 2.2150586000000203																
10	Sant Martí	71	Provençals del Poblenou	71. Provençals del Poblenou	 41.4114796	 2.202764000000002																
10	Sant Martí	72	Sant Martí de Provençals	72. Sant Martí de Provençals	 41.4165785	 2.19784709999999																
10	Sant Martí	73	la Verneda i la Pau	73. la Verneda i la Pau	 41.42399169999999	 2.202764000000002																
